Tweet,Sentiment,Score
"@NgLabour It's Jan. 2023. There are still reports that the Labor Party is not doing enough in the south-east and south-western states. Ogun, Anambra, Ebonyi are some of the states mentioned. Peter Obi doesn't need to be at every event. Members of the campaign council must step up",NEUTRAL,0.0
Vote for Peter Obi of LP. Papa mama and pikin... labour party,NEUTRAL,0.0
"They are no PDP Or APC votes, The electorate who decides the outcome of an election are majority not members of any Political Party but in the process of exercising their franchise decides who to give to

Please don't allow us to continue this suffer. Vote for @PeterObi @NgLabour",NEUTRAL,0.0
"HAPPY NEW YEAR to everyone.

More Love.
More wins.

Vote HE PETER OBI, LP party presidential candidate.",POSITIVO,0.45606060606060606
"PDP presidential candidate, Atiku Abubakar's running mate and current governor of Delta state, Dr Ifeanyi Okowa reportedly stated that Labour Party of Mr Peter Obi is heading nowhere

Do you agree with Governor Okowa?

#NaijaloveinfoPoll2023 #politics #Naijaloveinfo",NEUTRAL,0.0
"@PeterObi Wow, wow, another jingle for Peter Obi. My people, what this means? It means Labor Party, Obidient, ObiDatti, and Peter Obi are household names now. Everywhere now is Obidient all over the country. Peter Obi is more than Phenomenal if there is another word plz can somebody tel me",POSITIVO,0.3
"@NgLabour @PeterObi @aburechambers @YunusaTanko @Kennedy4Aha PDP have  continued to use peter obi picture to sell atiku in north and labour party not acting pls wat is going on ,they just package bags of rice in trailers and putting peter obi pictures on it pls you should intervene immediately the video is going viral oo",NEUTRAL,0.0
"yep

the year we'll see both your party and the APC behind Peter Obi and the Labour Party at the polls.",NEGATIVO,-0.4
"@HisKnowledgeabl @ShehuSani @officialEFCC @icpcnigeria @FBI @TheJusticeDept @PeterObi Its better u re-orientate ur brain 🧠now before u will be called in Psychological department. Is Peter Obi not part of PDP. Now seeking power from another party makes him Mr integrity. My brother be wise. Nigeria needs leader with passion not leader full of propaganda 

#bewise",POSITIVO,0.2899999999999999
"@BaronBlacky Peter Dutton should maintain a neutral stance  upping the pressure on Albo to come clean by asking everyday for details from the labour party for the necessary details and equal financial support for both sides of the referendum
Exactly as every other referendum has been funded",POSITIVO,0.04166666666666667
"The River State of Wike G5 said you should vote good people across Parties. 

River State is obidient for Peter Obi 

Nigeria will vote Peter Obi for president 2023 https://t.co/DD3ZJdhrDd",POSITIVO,0.7
"@kaizer747 @NgLabour @inecnigeria Walahi, we are using Peter Obi to sell the party yet they are not doing anything to help the movement",NEUTRAL,0.0
@TENIBEGILOJU202 @NgLabour @inecnigeria That party is useless. Peter Obi is the only covenant holding us together.,NEGATIVO,-0.25
"@GazetteNGR Look at the level of corruption going on within the apex financial regulator of Nigeria,vote wisely in 2023 and please vote for Mr Peter Obi of Labour party.",POSITIVO,0.35
"@firstladyship Happy New Year Everyone
2023 is finally here
Get your PVC
Vote Peter Obi
Afterwards we party and Balablu",POSITIVO,0.31212121212121213
"@omwangheagho @DanielRegha If Peter obi enter, all pdp people Will start decamping to labour party and corruption will start again.

To be sincere none of the three top candidate is capable enough to be the president.

Sha VOTE WISELY !!",POSITIVO,0.44000000000000006
"Happy New Year to all and sundry here.  

May we find no reason to miss 2022. 

Congratulations as you are onboard 2023

Get your PVC and vote Peter obi of labour party.",POSITIVO,0.4681818181818182
@Keir_Starmer You do realise that your Labour Party is probably going to replace you if you do end up in Government though.,NEUTRAL,0.0
"Why Some People Are Against Me” – Presidential Candidate Of Labour Party, Mr Peter Obi https://t.co/pINsDPmOkd",NEUTRAL,0.0
"Why Some People Are Against Me” – Presidential Candidate Of Labour Party, Mr Peter Obi https://t.co/wgf8OrWqVe",NEUTRAL,0.0
"Why Some People Are Against Me” – Presidential Candidate Of Labour Party, Mr Peter Obi https://t.co/dpt65Mq71h",NEUTRAL,0.0
